Algorithm,size4,size5,size6,size7,size8,size9,size10,size11,size12,size13,size14,size15,size16,size17,size18,size19,size20,size21,size22,size23,size24,size25,size26,size27,size28,size29,size30,size31,size32,size33,size34,size35,size36,size37,size38,size39,size40,size41,size42,size43,size44,size45,size46,size47,size48,size49,size50
Setup,307,15,22,15,13,13,12,13,14,15,14,13,13,15,14,20,14,13,13,14,14,14,11,14,12,12,14,13,14,16,15,14,18,21,16,17,14,21,15,16,15,14,14,13,14,13,13
SKGen,78,37,55,44,34,37,35,37,36,35,36,33,33,37,43,43,37,36,35,34,37,37,36,36,35,35,37,37,38,38,39,73,51,50,41,41,39,45,47,45,41,40,37,38,37,36,37
RKGen,72,51,75,55,44,43,46,47,46,46,50,43,49,45,55,50,48,46,49,46,45,48,48,47,46,46,46,50,48,48,57,82,60,61,55,56,57,77,59,52,55,51,49,47,48,49,51
Encrypt,101,76,100,79,69,65,66,68,67,63,70,63,80,72,83,71,70,69,70,67,70,70,70,65,66,68,67,76,72,72,98,144,94,103,80,81,88,101,80,77,77,75,77,71,70,69,69
Decrypt,63,53,59,43,40,39,41,45,40,41,38,41,45,44,55,42,42,41,40,41,44,39,41,39,39,43,41,43,44,43,45,89,55,57,48,60,56,49,47,50,45,43,42,43,43,41,41
