Algorithm,size4,size5,size6,size7,size8,size9,size10,size11,size12,size13,size14,size15,size16,size17,size18,size19,size20,size21,size22,size23,size24,size25,size26,size27,size28,size29,size30,size31,size32,size33,size34,size35,size36,size37,size38,size39,size40,size41,size42,size43,size44,size45,size46,size47,size48,size49,size50
Setup,291,8,14,10,8,8,7,8,7,8,7,9,8,7,8,7,7,8,10,8,10,8,7,8,8,7,7,8,8,8,8,8,8,8,7,8,7,9,8,8,8,9,7,8,8,12,17
KeyGen,131,126,208,159,176,221,214,231,252,283,294,335,352,359,381,396,421,443,571,534,534,543,610,596,615,653,703,720,707,721,735,779,819,854,854,874,937,950,945,1121,1052,1081,1059,1055,1231,2631,2136
Encrypt,58,71,93,83,92,99,110,118,129,138,146,159,165,178,187,197,202,352,250,257,255,260,278,311,293,311,318,380,332,354,344,364,383,384,410,402,408,464,451,453,495,482,487,525,945,1104,561
Decrypt,53,93,75,73,82,90,99,108,119,128,162,147,157,166,174,184,194,291,269,252,245,257,269,284,289,297,309,325,328,375,341,366,370,382,428,399,415,428,465,441,526,461,482,500,701,1048,557
