Algorithm,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
Setup,533,112,101,107,107,115,125,133,146,153,165,174,182,192,201,217,222,225,237,245,257,265,274,284,295,303,312,337,332,340,353,366,367,378,387,395,405,414,425,434,444,451,468,470,477,489,498
KeyGen,382,363,122,188,96,150,191,133,193,74,181,125,108,94,103,132,147,117,85,119,157,119,108,99,173,77,195,163,243,134,115,83,126,151,87,176,145,128,136,221,139,100,320,138,70,223,84
Encrypt,109,103,86,92,102,108,118,124,134,150,157,167,174,180,193,210,216,222,230,236,251,257,268,277,288,300,300,330,321,342,346,354,356,372,379,387,398,406,416,426,436,425,451,468,478,494,489
Decrypt,14,8,5,5,6,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,4,4,5,5,5,4,5,5,5,5,4,4,5,5,5,5,5,5,5,6,5,4,5
DelRequest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ReKeyGen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ReEncrypt,15,15,10,10,9,9,9,10,10,10,10,10,9,9,10,10,11,10,9,9,9,10,10,10,10,10,9,9,9,10,10,10,10,10,10,10,10,9,10,10,9,10,10,9,9,10,9
Verify,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
