Algorithm,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
Setup,847,94,91,104,135,149,156,160,170,181,196,214,213,223,234,246,255,259,268,280,282,292,295,305,307,320,318,317,359,388,399,385,387,394,399,393,403,413,422,432,440,451,460,468,478,492,573
Register,60,72,75,84,102,103,118,131,140,150,161,174,180,189,202,214,223,227,240,248,253,263,266,274,283,285,292,297,330,358,359,358,365,367,368,369,381,387,394,408,414,424,433,442,453,462,475
EKGen,122,61,82,80,93,111,119,129,139,155,163,173,181,192,204,218,224,228,239,251,253,255,266,277,280,283,294,306,333,359,362,358,367,370,371,368,378,405,398,408,417,427,438,501,456,465,475
PKGen,279,128,150,171,191,228,248,271,282,310,334,349,375,398,424,428,460,472,487,501,510,523,546,553,567,574,584,718,834,734,726,726,721,716,760,752,778,785,809,829,843,871,880,892,926,943,960
Enc,267,212,225,241,293,308,319,342,362,382,398,421,443,458,487,499,512,542,551,561,575,580,603,604,621,713,875,1064,1006,787,773,761,784,784,809,835,823,830,862,885,902,917,949,961,965,1106,1114
Match,35,28,28,33,34,30,30,30,29,31,28,28,30,29,27,28,27,30,27,26,28,25,26,26,25,25,25,25,27,27,25,25,25,24,24,24,24,23,23,24,23,24,24,23,23,33,24
Dec,2,2,2,1,2,2,2,1,2,1,2,2,2,1,2,2,1,1,1,2,1,2,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1
Rev,81,67,68,72,82,77,70,72,69,71,69,67,68,68,68,67,66,71,65,64,64,61,62,60,59,60,58,62,65,65,62,61,60,58,57,57,57,56,57,57,56,57,57,56,56,74,56
