Algorithm,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
Setup,375,30,47,28,27,27,43,27,27,25,27,25,27,26,30,27,27,26,24,43,29,26,27,28,28,26,33,27,27,26,72,36,32,30,31,32,26,28,46,34,28,29,35,26,26,27,27
EKGen,246,212,302,265,293,364,423,397,431,470,483,470,490,519,526,503,484,472,501,542,506,521,506,498,519,515,530,505,495,496,707,604,624,555,664,599,546,544,607,666,536,515,594,540,506,517,665
DKGen,278,303,400,411,503,516,567,629,676,688,748,824,868,950,1034,1091,1167,1096,1171,1293,1363,1458,1555,1995,1832,1634,1725,1748,1793,1837,2058,2321,2146,2286,2453,2509,2418,2471,3048,2874,2545,2662,2715,2811,2913,2840,2935
Encrypt,772,819,802,932,1294,1137,1239,1311,1414,1447,1531,1590,1785,1555,1595,1570,1561,1553,1623,1782,1825,1664,1758,1613,2073,1634,1690,1612,1617,2142,1851,1840,1797,1832,2076,1879,1784,1745,2113,1792,1631,1775,1700,1683,1684,1711,1629
Trapdoor,46,58,43,45,45,47,49,44,43,41,42,41,53,43,44,43,42,41,44,43,48,45,48,42,47,48,48,42,45,50,53,51,48,48,62,54,50,50,58,48,44,49,50,45,46,48,47
Search,304,395,383,463,522,613,657,689,772,771,843,827,889,885,879,820,860,826,882,920,939,899,901,883,967,931,900,925,879,1608,1011,1013,981,982,1290,950,977,942,1198,968,912,968,986,967,890,958,958
ReEncrypt,137,199,195,224,257,414,329,343,405,390,435,434,495,593,527,521,543,552,796,654,699,660,690,728,859,841,793,838,799,1512,955,979,973,1260,1200,1097,1104,1339,1309,1044,1135,1264,1288,1289,1175,1217,1281
Decrypt,1,1,1,1,0,2,0,1,1,1,1,0,1,0,0,1,0,1,1,0,1,1,0,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
