Component,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
SystemParams,18752,18752,18880,35264,35264,35264,35264,35392,35392,68160,68160,68160,68160,68160,68160,68160,68160,68288,68288,68288,68288,68288,133824,133824,133824,133824,133824,133824,133824,133824,133824,133824,133824,133824,133824,133824,133824,133952,133952,133952,133952,133952,133952,133952,133952,133952,133952
EncryptionKey,1344,1616,1888,2160,2432,2704,2976,3248,3520,3792,4064,4336,4608,4880,5152,5424,5696,5968,6240,6512,6784,7056,7328,7600,7872,8144,8416,8688,8960,9232,9504,9776,10048,10320,10592,10864,11136,11408,11680,11952,12224,12496,12768,13040,13312,13584,13856
DecryptionKey,10208,12272,14336,18448,20768,23088,25408,27728,30048,35952,38528,41104,43680,46000,48320,50640,52960,55280,57600,59920,62240,64560,74304,76880,79456,82032,84608,87184,89760,92336,94912,97488,100064,102640,105216,107792,110368,112944,115520,118096,120672,123248,125824,128400,130976,133552,136128
Ciphertext,4288,5012,5808,6548,7296,8052,8816,9652,10432,11220,12016,12820,13632,14452,15280,16116,16960,17876,18736,19604,20480,21364,22256,23156,24064,24980,25904,26836,27776,28724,29680,30644,31616,32596,33584,34580,35584,36660,37680,38708,39744,40788,41840,42900,43968,45044,46128
