Component,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
SystemParams,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0
EncryptionKey,704.0,848.0,992.0,1136.0,1280.0,1424.0,1568.0,1712.0,1856.0,2000.0,2144.0,2288.0,2432.0,2576.0,2720.0,2864.0,3008.0,3152.0,3296.0,3440.0,3584.0,3728.0,3872.0,4016.0,4160.0,4304.0,4448.0,4592.0,4736.0,4880.0,5024.0,5168.0,5312.0,5456.0,5600.0,5744.0,5888.0,6032.0,6176.0,6320.0,6464.0,6608.0,6752.0,6896.0,7040.0,7184.0,7328.0
DecryptionKey,1152.0,1460.0,1776.0,2100.0,2432.0,2772.0,3120.0,3476.0,3840.0,4212.0,4592.0,4980.0,5376.0,5780.0,6192.0,6612.0,7040.0,7476.0,7920.0,8372.0,8832.0,9300.0,9776.0,10260.0,10752.0,11252.0,11760.0,12276.0,12800.0,13332.0,13872.0,14420.0,14976.0,15540.0,16112.0,16692.0,17280.0,17876.0,18480.0,19092.0,19712.0,20340.0,20976.0,21620.0,22272.0,22932.0,23600.0
Ciphertext,1664.0,1952.0,2240.0,2528.0,2816.0,3104.0,3392.0,3680.0,3968.0,4256.0,4544.0,4832.0,5120.0,5408.0,5696.0,5984.0,6272.0,6560.0,6848.0,7136.0,7424.0,7712.0,8000.0,8288.0,8576.0,8864.0,9152.0,9440.0,9728.0,10016.0,10304.0,10592.0,10880.0,11168.0,11456.0,11744.0,12032.0,12320.0,12608.0,12896.0,13184.0,13472.0,13760.0,14048.0,14336.0,14624.0,14912.0
