Algorithm,size4,size5,size6,size7,size8,size9,size10,size11,size12,size13,size14,size15,size16,size17,size18,size19,size20,size21,size22,size23,size24,size25,size26,size27,size28,size29,size30,size31,size32,size33,size34,size35,size36,size37,size38,size39,size40,size41,size42,size43,size44,size45,size46,size47,size48,size49,size50
366,29,25,27,27,26,80,29,26,29,30,25,27,25,26,26,28,32,32,35,30,27,26,31,44,25,27,26,28,26,26,23,23,24,26,23,23,23,24,24,24,24,24,24,23,24,26
212,198,220,256,287,330,390,478,446,485,544,636,534,489,487,496,553,622,628,638,878,526,506,530,587,499,509,511,537,534,511,455,453,525,560,452,452,459,571,461,506,468,466,464,452,523,502
261,276,330,390,446,551,545,776,702,756,824,886,960,1122,1045,1064,1375,1550,1412,1592,1560,1438,1575,1551,1626,1604,1747,1761,1869,1999,1893,2517,1805,2155,2107,1968,2031,2109,2259,2321,2381,2294,2392,2489,2660,2742,2845
700,707,745,985,975,1126,1195,1456,1501,1583,1709,1658,1645,1553,1661,1734,2192,2081,1885,1938,2019,1642,1736,1655,1586,1614,1604,1644,1618,1652,1487,1477,1470,2023,1530,1465,1546,1470,1492,1508,1519,1551,1523,1562,1599,1636,1646
44,40,41,53,43,42,45,45,52,44,48,44,45,42,43,50,54,52,49,52,53,45,54,46,42,44,43,45,44,43,41,41,41,81,55,41,40,41,40,41,46,41,41,41,43,47,47
253,302,423,565,500,550,674,726,799,886,945,892,911,871,886,942,1079,1006,1110,1021,1082,918,956,893,873,924,903,863,869,887,805,802,804,1088,895,796,799,801,824,866,848,837,824,825,848,913,963
137,152,184,229,246,324,322,359,391,481,464,477,486,516,526,578,715,631,982,772,714,701,745,770,722,747,811,858,849,869,787,809,820,945,887,868,902,930,948,1022,996,1049,1060,1047,1179,1165,1251
1,0,1,0,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,2,1,0,1,1,1,0,1,1,1,0,0,0,1,1,0,1,1,1,0,1,0,0,1
