Algorithm,size5,size6,size7,size8,size9,size10,size11,size12,size13,size14,size15,size16,size17,size18,size19,size20,size21,size22,size23,size24,size25,size26,size27,size28,size29,size30,size31,size32,size33,size34,size35,size36,size37,size38,size39,size40,size41,size42,size43,size44,size45,size46,size47,size48,size49,size50
Setup,3335,3015,2319,2194,2145,2119,2070,2212,2067,2094,2082,2291,2234,2196,2194,2271,2250,2027,2160,2023,2041,2156,2182,2426,2409,2288,2410,2573,2123,4000,2877,2632,2211,2409,2781,2418,2804,2438,2417,2615,2046,2371,2088,3093,2483,2288
KeyGen,820,521,681,899,989,1228,1400,1690,1900,2188,2542,3024,3448,3804,4202,4704,5051,5145,5652,6009,7029,7822,8188,9315,10011,9853,13310,13352,11834,15518,17311,16400,15118,17722,18830,20360,20294,23706,22238,21936,23021,23896,23414,29643,25694,41691
Enc,267,126,130,161,144,163,160,172,182,188,204,222,239,239,247,261,269,270,275,279,320,308,346,344,370,356,473,530,387,617,549,479,441,491,488,505,599,563,575,503,572,519,561,701,605,574
Trapdoor,661,625,822,1083,1168,1409,1613,1883,2232,2486,2784,3378,3658,4083,4509,4992,5157,5537,6037,6455,8200,8163,9247,9198,10144,11907,12717,14065,13586,17766,18060,16549,18537,19332,19328,20110,22226,23893,23153,20568,24141,22489,26001,29879,28864,30023
Test,25,22,25,22,21,20,20,21,20,22,20,23,24,24,20,22,20,20,20,20,22,24,24,21,21,24,21,22,31,30,29,23,26,27,25,28,22,25,25,24,24,23,25,24,23,24
RKGen,351,367,419,493,538,546,590,649,719,747,915,886,927,988,1042,1043,1092,1104,1164,1202,1401,1439,1564,1560,1545,1808,1780,1705,2679,2273,2355,1850,2192,2782,2340,2696,2257,2403,2719,2251,2516,2281,3277,2994,2708,3084
ReEnc,121,75,80,84,80,71,71,71,72,71,90,75,78,76,81,79,70,81,73,71,78,80,83,78,89,88,88,74,127,122,97,76,85,131,84,119,84,84,94,73,85,99,101,91,83,94
