Algorithm,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
Setup,256,126,150,173,196,263,361,332,356,370,388,424,388,395,404,419,411,424,449,483,526,530,545,545,548,566,589,605,788,1369,1228,814,784,727,737,796,837,1273,1155,1153,1033,992,1066,1170,1108,1060,1031
EKGen,48,55,67,77,87,131,146,149,158,166,180,185,187,184,191,192,197,199,209,230,247,254,264,260,267,272,282,331,401,705,560,399,352,347,357,370,402,576,553,546,503,491,504,557,533,552,502
DKGen,45,57,65,74,84,115,136,146,159,169,174,184,188,184,195,192,196,197,208,233,248,254,261,263,262,270,285,300,392,645,554,390,347,348,356,375,411,562,566,545,500,491,516,551,527,523,508
PolGen,43,45,64,63,84,120,135,133,158,158,174,174,195,174,193,183,196,188,210,224,244,244,265,255,262,264,289,287,392,629,540,375,351,348,360,362,449,555,551,525,499,480,511,533,522,504,504
Encrypt,153,158,181,187,211,290,311,318,341,347,363,374,406,361,381,364,375,379,389,430,448,458,490,467,481,487,503,511,730,1154,918,657,597,632,617,626,727,949,984,900,840,810,859,934,872,876,823
TrGen,68,81,105,116,140,226,216,228,243,268,275,279,284,282,300,288,307,304,325,379,384,393,403,392,400,424,433,467,663,929,816,588,529,552,541,579,758,848,837,892,740,737,815,860,789,784,779
Match,93,100,133,143,174,337,274,289,318,327,356,351,366,363,430,373,396,415,437,471,506,491,541,511,543,540,604,622,838,1084,1100,745,695,695,717,739,1024,1100,1100,1123,980,968,1051,1117,1039,1035,1042
Decrypt,32,24,35,35,45,68,69,70,81,80,91,86,93,88,104,93,100,97,111,115,126,125,135,126,141,134,145,149,217,281,261,187,174,174,182,187,306,280,290,273,245,241,267,274,264,253,261
