Algorithm,size4,size5,size6,size7,size8,size9,size10,size11,size12,size13,size14,size15,size16,size17,size18,size19,size20,size21,size22,size23,size24,size25,size26,size27,size28,size29,size30,size31,size32,size33,size34,size35,size36,size37,size38,size39,size40,size41,size42,size43,size44,size45,size46,size47,size48,size49,size50
Setup,716,61,69,79,49,41,43,49,47,36,48,41,36,32,34,43,41,34,38,40,38,35,32,32,143,41,32,68,46,34,43,38,36,35,32,55,37,94,35,34,38,43,41,44,53,38,40
EKGen,258,320,487,661,393,586,428,544,604,466,619,544,575,577,626,729,785,758,803,851,874,922,809,923,1514,1029,992,1793,1703,1051,1339,1270,1275,1194,1269,1902,1400,1552,1392,1456,1768,1643,1732,2635,1834,1613,1760
DKGen,375,388,662,905,727,624,620,686,989,752,934,962,1081,1000,989,1323,1234,1165,1532,1278,1389,1324,1309,1605,1837,1651,1748,2464,2022,1880,2484,2260,2148,3257,2540,3531,2500,2215,2180,2408,3809,2723,2777,3575,3340,2505,2809
Encrypt,1182,1072,1066,1854,1232,1083,1341,1389,1386,1510,1859,1999,1689,1700,2274,2708,2162,2124,2898,2668,2685,2393,2858,3407,3678,2813,3325,4366,3715,3410,4496,4097,3686,4898,4108,4175,4681,4110,4584,5099,6397,5194,5407,5265,6020,5177,5606
Verify,528,597,1300,1047,603,622,823,1077,783,976,933,937,966,1011,1739,1510,1307,1385,1685,1475,1537,1416,1633,3228,1851,1767,2399,2581,1891,2448,2430,2401,2235,2362,2678,2387,2749,2583,2661,3268,3932,3207,3463,3094,2892,3045,3169
Decrypt,80,100,359,103,97,107,168,164,134,172,164,163,160,177,241,230,206,231,241,239,254,234,270,590,311,280,625,583,306,397,360,377,367,468,880,398,517,432,453,587,515,584,574,545,499,898,533
