Algorithm,size4,size5,size6,size7,size8,size9,size10,size11,size12,size13,size14,size15,size16,size17,size18,size19,size20,size21,size22,size23,size24,size25,size26,size27,size28,size29,size30,size31,size32,size33,size34,size35,size36,size37,size38,size39,size40,size41,size42,size43,size44,size45,size46,size47,size48,size49,size50
Ours,772,819,802,932,1294,1137,1239,1311,1414,1447,1531,1590,1785,1555,1595,1570,1561,1553,1623,1782,1825,1664,1758,1613,2073,1634,1690,1612,1617,2142,1851,1840,1797,1832,2076,1879,1784,1745,2113,1792,1631,1775,1700,1683,1684,1711,1629
MIBE,101,76,100,79,69,65,66,68,67,63,70,63,80,72,83,71,70,69,70,67,70,70,70,65,66,68,67,76,72,72,98,144,94,103,80,81,88,101,80,77,77,75,77,71,70,69,69
CFDS,1182,1072,1066,1854,1232,1083,1341,1389,1386,1510,1859,1999,1689,1700,2274,2708,2162,2124,2898,2668,2685,2393,2858,3407,3678,2813,3325,4366,3715,3410,4496,4097,3686,4898,4108,4175,4681,4110,4584,5099,6397,5194,5407,5265,6020,5177,5606
