Algorithm,size5,size6,size7,size8,size9,size10,size11,size12,size13,size14,size15,size16,size17,size18,size19,size20,size21,size22,size23,size24,size25,size26,size27,size28,size29,size30,size31,size32,size33,size34,size35,size36,size37,size38,size39,size40,size41,size42,size43,size44,size45,size46,size47,size48,size49,size50
Ours,395,383,463,522,613,657,689,772,771,843,827,889,885,879,820,860,826,882,920,939,899,901,883,967,931,900,925,879,1608,1011,1013,981,982,1290,950,977,942,1198,968,912,968,986,967,890,958,958
KSF-OABE,62,79,79,103,98,119,120,168,147,150,200,172,181,245,206,206,261,281,253,251,299,340,288,365,455,438,355,773,398,376,396,466,405,424,432,469,450,474,499,492,506,462,490,498,512,537
