Algorithm,size5,size6,size7,size8,size9,size10,size11,size12,size13,size14,size15,size16,size17,size18,size19,size20,size21,size22,size23,size24,size25,size26,size27,size28,size29,size30,size31,size32,size33,size34,size35,size36,size37,size38,size39,size40,size41,size42,size43,size44,size45,size46,size47,size48,size49,size50
Ours,199,195,224,257,414,329,343,405,390,435,434,495,593,527,521,543,552,796,654,699,660,690,728,859,841,793,838,799,1512,955,979,973,1260,1200,1097,1104,1339,1309,1044,1135,1264,1288,1289,1175,1217,1281
PRE-SE,351,367,419,493,538,546,590,649,719,747,915,886,927,988,1042,1043,1092,1104,1164,1202,1401,1439,1564,1560,1545,1808,1780,1705,2679,2273,2355,1850,2192,2782,2340,2696,2257,2403,2719,2251,2516,2281,3277,2994,2708,3084
