Algorithm,size5,size6,size7,size8,size9,size10,size11,size12,size13,size14,size15,size16,size17,size18,size19,size20,size21,size22,size23,size24,size25,size26,size27,size28,size29,size30,size31,size32,size33,size34,size35,size36,size37,size38,size39,size40,size41,size42,size43,size44,size45,size46,size47,size48,size49,size50
Ours,368,375,438,547,559,638,758,1163,977,873,927,1034,1146,929,876,938,931,1074,974,913,972,901,1016,888,811,884,849,816,814,804,901,1080,881,942,937,973,985,925,952,894,825,809,900,1466,861,1008
CFDS,597,1300,1047,603,622,823,1077,783,976,933,937,966,1011,1739,1510,1307,1385,1685,1475,1537,1416,1633,3228,1851,1767,2399,2581,1891,2448,2430,2401,2235,2362,2678,2387,2749,2583,2661,3268,3932,3207,3463,3094,2892,3045,3169
