Component,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
SystemParams,3008,3264,3520,3776,4032,4288,4544,4800,5056,5312,5568,5824,6080,6336,6592,6848,7104,7360,7616,7872,8128,8384,8640,8896,9152,9408,9664,9920,10176,10432,10688,10944,11200,11456,11712,11968,12224,12480,12736,12992,13248,13504,13760,14016,14272,14528,14784
EncryptionKey,704,848,992,1136,1280,1424,1568,1712,1856,2000,2144,2288,2432,2576,2720,2864,3008,3152,3296,3440,3584,3728,3872,4016,4160,4304,4448,4592,4736,4880,5024,5168,5312,5456,5600,5744,5888,6032,6176,6320,6464,6608,6752,6896,7040,7184,7328
DecryptionKey,2688,4020,5616,7476,9600,11988,14640,17556,20736,24180,27888,31860,36096,40596,45360,50388,55680,61236,67056,73140,79488,86100,92976,100116,107520,115188,123120,131316,139776,148500,157488,166740,176256,186036,196080,206388,216960,227796,238896,250260,261888,273780,285936,298356,311040,323988,337200
Ciphertext,1280,1440,1600,1760,1920,2080,2240,2400,2560,2720,2880,3040,3200,3360,3520,3680,3840,4000,4160,4320,4480,4640,4800,4960,5120,5280,5440,5600,5760,5920,6080,6240,6400,6560,6720,6880,7040,7200,7360,7520,7680,7840,8000,8160,8320,8480,8640
