Algorithm,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
Ours,537,103,122,131,311,544,453,330,198,210,239,216,214,273,396,220,163,133,114,114,120,117,124,110,108,106,103,105,106,108,112,116,120,136,132,126,126,130,154,134,128,133,128,137,135,137,156
SRB-ABE,187,32,46,33,34,33,33,35,35,34,35,34,35,35,35,35,35,37,37,36,39,52,43,54,49,47,47,56,47,48,41,61,39,59,47,41,39,39,39,41,37,38,39,37,38,39,38
PriBAC,256,126,150,173,196,263,361,332,356,370,388,424,388,395,404,419,411,424,449,483,526,530,545,545,548,566,589,605,788,1369,1228,814,784,727,737,796,837,1273,1155,1153,1033,992,1066,1170,1108,1060,1031
CRO-ABME,847,94,91,104,135,149,156,160,170,181,196,214,213,223,234,246,255,259,268,280,282,292,295,305,307,320,318,317,359,388,399,385,387,394,399,393,403,413,422,432,440,451,460,468,478,492,573
AD-KP-ABE,533,112,101,107,107,115,125,133,146,153,165,174,182,192,201,217,222,225,237,245,257,265,274,284,295,303,312,337,332,340,353,366,367,378,387,395,405,414,425,434,444,451,468,470,477,489,498
