Algorithm,size5,size6,size7,size8,size9,size10,size11,size12,size13,size14,size15,size16,size17,size18,size19,size20,size21,size22,size23,size24,size25,size26,size27,size28,size29,size30,size31,size32,size33,size34,size35,size36,size37,size38,size39,size40,size41,size42,size43,size44,size45,size46,size47,size48,size49,size50
Ours,212,302,265,293,364,423,397,431,470,483,470,490,519,526,503,484,472,501,542,506,521,506,498,519,515,530,505,495,496,707,604,624,555,664,599,546,544,607,666,536,515,594,540,506,517,665
MIBE,37,55,44,34,37,35,37,36,35,36,33,33,37,43,43,37,36,35,34,37,37,36,36,35,35,37,37,38,38,39,73,51,50,41,41,39,45,47,45,41,40,37,38,37,36,37
CFDS,320,487,661,393,586,428,544,604,466,619,544,575,577,626,729,785,758,803,851,874,922,809,923,1514,1029,992,1793,1703,1051,1339,1270,1275,1194,1269,1902,1400,1552,1392,1456,1768,1643,1732,2635,1834,1613,1760
