Algorithm,size5,size6,size7,size8,size9,size10,size11,size12,size13,size14,size15,size16,size17,size18,size19,size20,size21,size22,size23,size24,size25,size26,size27,size28,size29,size30,size31,size32,size33,size34,size35,size36,size37,size38,size39,size40,size41,size42,size43,size44,size45,size46,size47,size48,size49,size50
Ours,199,195,224,257,414,329,343,405,390,435,434,495,593,527,521,543,552,796,654,699,660,690,728,859,841,793,838,799,1512,955,979,973,1260,1200,1097,1104,1339,1309,1044,1135,1264,1288,1289,1175,1217,1281
KSF-OABE,51,67,70,92,88,109,110,156,137,139,184,163,171,233,196,196,249,264,243,241,289,329,278,353,436,417,343,759,388,365,384,455,394,412,419,457,440,463,487,482,495,452,479,488,502,526
